"VideoAnalysis: Time (s)","VideoAnalysis: X (m)","VideoAnalysis: Y (m)","VideoAnalysis: X Velocity (m/s)","VideoAnalysis: Y Velocity (m/s)"
3.40333333333,0,0,1.10472665419,1.86856622652
3.43666666667,0.0189381712147,0.0492392451583,1.7217953996,2.2741587267
3.47,0.102266124559,0.147717735475,2.2668990944,2.53013967429
3.50333333333,0.185594077904,0.234833323062,2.41146046801,2.33886414502
3.53666666667,0.268922031249,0.306798373678,2.37042776371,2.00113342502
3.57,0.344674716108,0.371188155808,2.24104301271,1.53187893193
3.60333333333,0.416639766724,0.409064498238,2.15335373437,1.07327317485
3.63666666667,0.48860481734,0.439365572181,2.06495812681,0.712889654452
3.67166666667,0.556782233713,0.454516109153,2.0028970402,0.44396594912
3.705,0.624959650085,0.473454280368,1.94952961137,0.0778857873817
3.73833088643,0.68934822012,0.461444107247,1.83758634328,-0.322392009741
3.77166419794,0.74616273376,0.450081204519,1.76757450278,-0.668154729899
3.80499750946,0.802977247399,0.40841722785,1.79597358995,-0.799101234956
3.83833082097,0.867367029525,0.400841959365,1.78965835107,-1.01319282309
3.87166413249,0.927969177407,0.347815079967,1.63499651826,-1.39195649527
3.904997444,0.973420788319,0.298575834813,1.55293105595,-1.54977469202
3.93833075552,1.03023530196,0.245548955416,1.49296014119,-1.73600016417
3.97166406703,1.07189927863,0.188734441776,1.46770922971,-2.04216746585
4.00499737855,1.13250142651,0.105406488438,1.33198558051,-2.25364384949
4.03833069006,1.15901486621,0.0334414378272,1.22782557066,-2.31677112819
4.07166400158,1.21204174561,-0.0460988812685,1.18931793066,-2.42029986525
4.10499731309,1.24234281955,-0.13321446885,1.05422555424,-2.37674204295
4.13833062461,1.27643152773,-0.20517951946,1.02897464276,-2.2725820331
